City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
326,Xian,CN,34.2583,108.9286,28.9,50,82,3.31,broken clouds
327,Phultala,BD,22.7,89.5167,59.31,66,0,5.59,light rain
328,Aykhal,RU,66.0,111.5,-41.39,97,100,6.49,overcast clouds
329,Fort Walton Beach,US,30.4058,-86.6188,64.42,79,40,12.66,scattered clouds
330,Uzunovo,RU,54.5386,38.6173,23.56,94,100,12.86,overcast clouds
331,Sabha,LY,27.0377,14.4283,52.52,40,0,6.33,clear sky
332,Buraydah,SA,26.326,43.975,60.03,88,91,6.76,overcast clouds
333,Beringovskiy,RU,63.05,179.3167,-2.29,86,100,20.29,overcast clouds
334,Koslan,RU,63.4564,48.8989,18.27,90,100,12.17,overcast clouds
335,Dunmore East,IE,52.1514,-6.9861,32.23,72,100,8.77,overcast clouds
336,Tetiz,MX,20.9667,-89.9333,77.09,49,32,4.54,scattered clouds
337,Ulladulla,AU,-35.35,150.4667,77.27,58,62,8.72,broken clouds
338,Jalu,LY,29.0331,21.5482,54.45,62,0,5.01,clear sky
339,Dingle,PH,10.9995,122.6711,77.99,90,83,6.15,broken clouds
340,Arman,RU,59.7,150.1667,-18.29,84,66,12.68,broken clouds
341,Mitoc,RO,48.1,27.0333,36.7,81,100,19.22,overcast clouds
342,Evensk,RU,61.95,159.2333,-1.44,79,100,5.48,overcast clouds
